latitude,longitude,hhid,wilcah,geometry,distance_to_hospital_km,distance_to_clinic_km
-5.4327851,105.2649404,13306,133,POINT (105.2649404 -5.432785100000001),2.018056129950374,0.36263137354146313
-0.0317518,109.3501968,32706,327,POINT (109.3501968 -0.0317518),14.245723166802964,4.732636752942955
-0.0317389,109.3496953,32704,327,POINT (109.34969530000001 -0.0317389),14.273587828114414,4.745743391521258
-0.0319196,109.3496179,32708,327,POINT (109.3496179 -0.0319196),14.260048168269703,4.727970820863343
-3.3331123,114.5751966,35208,352,POINT (114.5751966 -3.3331123),4.020697272543737,1.0456990875238454
-5.4327651,105.2647439,13303,133,POINT (105.26474389999998 -5.4327651),2.0368923151049394,0.34064440814242014
-5.4325901,105.2642919,13310,133,POINT (105.26429189999999 -5.4325901),2.088970340092472,0.2891520459680312
0.7618778,127.3702503,46309,463,POINT (127.37025030000001 0.7618777999999999),3.273131040356896,2.825702467607926
0.7731555,127.3754017,46407,464,POINT (127.37540170000001 0.7731555),1.917384317131849,1.4682041400446215
0.7616378,127.3703247,46301,463,POINT (127.37032470000001 0.7616378),3.2911734906647734,2.8440401143103298
