latitude,longitude,hhid,wilcah,geometry,count_electric_power_plant_within_1km,count_refinery_within_1km,count_port_within_1km,count_oil_n_gas_within_1km,count_other_within_1km,count_mine_within_1km,count_mineral_processing_plant_within_1km,count_smelting_plant_within_1km,count_electric_power_plant_within_3km,count_refinery_within_3km,count_port_within_3km,count_oil_n_gas_within_3km,count_other_within_3km,count_mine_within_3km,count_mineral_processing_plant_within_3km,count_smelting_plant_within_3km,count_electric_power_plant_within_5km,count_refinery_within_5km,count_port_within_5km,count_oil_n_gas_within_5km,count_other_within_5km,count_mine_within_5km,count_mineral_processing_plant_within_5km,count_smelting_plant_within_5km,count_electric_power_plant_within_10km,count_refinery_within_10km,count_port_within_10km,count_oil_n_gas_within_10km,count_other_within_10km,count_mine_within_10km,count_mineral_processing_plant_within_10km,count_smelting_plant_within_10km,distance_to_closest_electric_power_plant_km,distance_to_closest_refinery_km,distance_to_closest_port_km,distance_to_closest_oil_n_gas_km,distance_to_closest_other_km,distance_to_closest_mine_km,distance_to_closest_mineral_processing_plant_km,distance_to_closest_smelting_plant_km
4.0206972,96.385734,1102,11,POINT (96.38573399999999 4.020697200000001),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.86080262436496,155.11734486843213,211.01726104915187,152.4127612209097,32.98618227296867,408.81598766464606,153.75610781484042,349.46389412450964
-6.0878364,106.722015,17308,173,POINT (106.722015 -6.0878364),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7.379708617021423,15.262426375967582,15.731074729968826,15.125861264452293,5.655745856257416,66.3589339189117,23.364993642156747,32.567708420064896
-6.0874658,106.7226223,17309,173,POINT (106.72262229999998 -6.0874657999999995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7.331438216048953,15.190083708770908,15.673042793535638,15.048613676441416,5.653691947494351,66.41648434624452,23.32741908418014,32.646494459962604
-6.0881134,106.7213258,17310,173,POINT (106.7213258 -6.088113399999999),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7.4406955796530925,15.331356481188624,15.800264844358107,15.202279716902881,5.672703102938173,66.30921017037198,23.415906575410897,32.48506084480562
-6.1287235,106.5356695,17105,171,POINT (106.53566949999998 -6.1287235),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.168704715352662,34.00809084617964,36.19818368242109,34.98474700832478,23.85959015189255,59.64432578525439,41.25064704916868,12.67673134364814
-6.1289264,106.5354467,17106,171,POINT (106.53544669999998 -6.1289264),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.167206514079664,34.04097291719867,36.22390250354284,35.0169580366478,23.884266564121297,59.62316269851786,41.22955248329444,12.643162592114894
-6.1290324,106.5355072,17107,171,POINT (106.5355072 -6.129032399999998),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.180363982781758,34.041163342252915,36.21766911301152,35.01605635270494,23.87747502729286,59.61090566118588,41.21727932871815,12.63930294412761
-6.0876492,106.7222763,17307,173,POINT (106.72227629999999 -6.0876491999999995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7.359984318427516,15.228724374877055,15.706698407506629,15.090438723298963,5.657328675098749,66.3866908411353,23.350362345962463,32.60291402765059
-6.087794,106.7218469,17305,173,POINT (106.7218469 -6.087793999999999),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7.3988903181775205,15.269064712877434,15.750355627808169,15.135852778726509,5.67002981791582,66.35869423465859,23.383564039121875,32.55273099243782
-6.0877859,106.7220053,17306,173,POINT (106.7220053 -6.087785900000001),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7.38272152556577,15.25836588069379,15.733246170095992,15.122658744395375,5.661059635406028,66.36411741661551,23.368763650387937,32.569107559038265
